Name,Team,date,GA1,GA2,GA3,GA
김상수,넥센,05월 26일,0,0,0,0
김상수,넥센,06월 08일,0,0,0,0
김상수,넥센,06월 10일,0,0,0,0
김상수,넥센,06월 13일,0,0,0,0
김상수,넥센,06월 17일,0,0,0,3
김상수,넥센,06월 19일,0,0,3,0
김상수,넥센,06월 20일,0,3,0,0
김상수,넥센,06월 23일,3,0,0,0
김상수,넥센,06월 27일,0,0,0,0
김상수,넥센,07월 01일,0,0,0,0
김상수,넥센,07월 05일,0,0,0,0
김상수,넥센,07월 07일,0,0,0,0
김선기,넥센,04월 04일,1,0,0,0
김선기,넥센,04월 06일,0,0,0,0
김선기,넥센,04월 11일,0,0,0,0
김선기,넥센,04월 27일,0,0,0,0
김선기,넥센,04월 29일,0,0,0,2
김선기,넥센,05월 02일,0,0,2,3
김선기,넥센,05월 05일,0,2,3,0
김선기,넥센,05월 10일,2,3,0,0
김선기,넥센,05월 23일,3,0,0,3
김성민,넥센,03월 30일,0,0,0,0
김성민,넥센,04월 13일,0,0,0,4
김성민,넥센,04월 15일,0,0,4,0
김성민,넥센,04월 20일,0,4,0,0
김성민,넥센,04월 29일,4,0,0,1
김성민,넥센,05월 04일,0,0,1,1
김성민,넥센,05월 09일,0,1,1,0
김성민,넥센,05월 18일,1,1,0,1
김성민,넥센,05월 31일,1,0,1,0
김성민,넥센,06월 02일,0,1,0,2
김성민,넥센,06월 15일,1,0,2,0
김성민,넥센,06월 22일,0,2,0,0
김성민,넥센,06월 29일,2,0,0,0
김세현,KIA,04월 07일,0,0,0,0
김세현,KIA,04월 08일,0,0,0,0
김세현,KIA,04월 17일,0,0,0,1
김세현,KIA,04월 18일,0,0,1,0
김세현,KIA,04월 25일,0,1,0,1
김세현,KIA,04월 29일,1,0,1,1
김세현,KIA,05월 02일,0,1,1,0
김세현,KIA,07월 03일,1,1,0,0
김세현,KIA,07월 08일,1,0,0,2
김세현,KIA,07월 11일,0,0,2,1
김승현,삼성,04월 04일,0,0,2,0
김승현,삼성,04월 07일,0,2,0,1
김승현,삼성,04월 10일,2,0,1,2
김승현,삼성,04월 15일,0,1,2,0
김승현,삼성,04월 18일,1,2,0,0
김승현,삼성,04월 25일,2,0,0,0
김승현,삼성,04월 27일,0,0,0,3
김승현,삼성,05월 01일,0,0,3,0
김승현,삼성,05월 10일,0,3,0,1
김승현,삼성,05월 16일,3,0,1,0
김승현,삼성,05월 22일,0,1,0,0
김승현,삼성,05월 23일,1,0,0,0
김승현,삼성,05월 26일,0,0,0,0
김승현,삼성,05월 29일,0,0,0,1
김승현,삼성,06월 06일,0,0,1,0
김승현,삼성,06월 13일,0,1,0,0
김승현,삼성,06월 15일,1,0,0,1
김승현,삼성,06월 17일,0,0,1,1
김승회,두산,05월 10일,0,0,0,0
김승회,두산,05월 11일,0,0,0,0
김승회,두산,05월 23일,0,0,0,1
김승회,두산,05월 26일,0,0,1,0
김승회,두산,06월 03일,0,1,0,0
김승회,두산,06월 05일,1,0,0,1
김승회,두산,06월 09일,0,0,1,0
김승회,두산,06월 10일,0,1,0,2
김승회,두산,06월 17일,1,0,2,1
김승회,두산,06월 19일,0,2,1,0
김승회,두산,06월 23일,2,1,0,0
김승회,두산,06월 24일,1,0,0,3
김승회,두산,06월 28일,0,0,3,0
김승회,두산,07월 06일,0,3,0,0
김승회,두산,07월 11일,3,0,0,0
김시현,삼성,04월 25일,0,0,4,3
김영준,LG,06월 12일,0,0,0,0
김영준,LG,06월 17일,0,0,0,2
김영준,LG,06월 23일,0,0,2,3
김원중,롯데,04월 18일,3,7,2,5
김원중,롯데,04월 24일,7,2,5,5
김원중,롯데,04월 29일,2,5,5,2
김원중,롯데,05월 05일,5,5,2,1
김원중,롯데,05월 13일,5,2,1,1
김원중,롯데,05월 19일,2,1,1,2
김원중,롯데,05월 25일,1,1,2,7
김원중,롯데,05월 31일,1,2,7,5
김원중,롯데,06월 06일,2,7,5,2
김원중,롯데,06월 13일,7,5,2,4
김원중,롯데,06월 19일,5,2,4,6
김원중,롯데,06월 24일,2,4,6,2
김원중,롯데,06월 30일,4,6,2,2
김원중,롯데,07월 06일,6,2,2,5
김원중,롯데,07월 12일,2,2,5,5
김유신,KIA,06월 24일,0,0,2,6
김윤동,KIA,04월 07일,1,0,0,0
김윤동,KIA,04월 11일,0,0,0,0
김윤동,KIA,04월 17일,0,0,0,0
김윤동,KIA,04월 21일,0,0,0,4
김윤동,KIA,04월 28일,0,0,4,0
김윤동,KIA,04월 29일,0,4,0,0
김윤동,KIA,05월 02일,4,0,0,1
김윤동,KIA,05월 04일,0,0,1,0
김윤동,KIA,05월 13일,0,1,0,0
김윤동,KIA,05월 16일,1,0,0,1
김윤동,KIA,05월 18일,0,0,1,0
김윤동,KIA,05월 20일,0,1,0,0
김윤동,KIA,05월 23일,1,0,0,0
김윤동,KIA,05월 27일,0,0,0,0
김윤동,KIA,05월 31일,0,0,0,0
김윤동,KIA,06월 03일,0,0,0,2
김윤동,KIA,06월 06일,0,0,2,0
김윤동,KIA,06월 07일,0,2,0,0
김윤동,KIA,06월 12일,2,0,0,0
김윤동,KIA,07월 04일,0,0,0,0
