Name,Team,date,R1,R2,R3,R
김동엽,SK,06월 06일,0,1,1,3
김동엽,SK,06월 07일,1,1,3,0
김동엽,SK,06월 08일,1,3,0,0
김동엽,SK,06월 09일,3,0,0,0
김동엽,SK,06월 12일,0,0,0,0
김동엽,SK,06월 13일,0,0,0,1
김동엽,SK,06월 15일,0,0,1,0
김동엽,SK,06월 16일,0,1,0,0
김동엽,SK,06월 19일,1,0,0,1
김동엽,SK,06월 20일,0,0,1,0
김동엽,SK,06월 21일,0,1,0,1
김동엽,SK,06월 22일,1,0,1,1
김동엽,SK,06월 23일,0,1,1,1
김동엽,SK,06월 24일,1,1,1,0
김동엽,SK,06월 29일,1,1,0,2
김동엽,SK,06월 30일,1,0,2,0
김동엽,SK,07월 03일,0,2,0,1
김동엽,SK,07월 05일,2,0,1,0
김동엽,SK,07월 06일,0,1,0,0
김동엽,SK,07월 08일,1,0,0,0
김동엽,SK,07월 10일,0,0,0,1
김동엽,SK,07월 11일,0,0,1,0
김동엽,SK,07월 12일,0,1,0,1
김동한,롯데,05월 25일,2,0,0,0
김동한,롯데,05월 26일,0,0,0,1
김동한,롯데,06월 20일,0,0,1,2
김동한,롯데,06월 21일,0,1,2,0
김동한,롯데,06월 24일,1,2,0,0
김동한,롯데,06월 27일,2,0,0,1
김동한,롯데,06월 30일,0,0,1,0
김문호,롯데,04월 06일,0,1,0,1
김문호,롯데,04월 07일,1,0,1,1
김문호,롯데,04월 08일,0,1,1,0
김문호,롯데,04월 10일,1,1,0,0
김문호,롯데,04월 11일,1,0,0,1
김문호,롯데,04월 18일,0,0,1,0
김문호,롯데,04월 25일,0,1,0,0
김문호,롯데,04월 26일,1,0,0,1
김문호,롯데,04월 27일,0,0,1,0
김문호,롯데,05월 08일,0,1,0,0
김문호,롯데,05월 09일,1,0,0,0
김문호,롯데,05월 10일,0,0,0,0
김문호,롯데,05월 11일,0,0,0,0
김문호,롯데,05월 13일,0,0,0,0
김문호,롯데,05월 17일,0,0,0,0
김민성,넥센,03월 28일,1,1,0,0
김민성,넥센,03월 29일,1,0,0,2
김민성,넥센,03월 30일,0,0,2,0
김민성,넥센,03월 31일,0,2,0,0
김민성,넥센,04월 01일,2,0,0,0
김민성,넥센,04월 03일,0,0,0,0
김민성,넥센,04월 04일,0,0,0,0
김민성,넥센,04월 05일,0,0,0,0
김민성,넥센,04월 06일,0,0,0,1
김민성,넥센,04월 08일,0,0,1,0
김민성,넥센,04월 14일,0,1,0,0
김민성,넥센,04월 15일,1,0,0,0
김민성,넥센,04월 17일,0,0,0,0
김민성,넥센,04월 19일,0,0,0,1
김민성,넥센,04월 20일,0,0,1,0
김민성,넥센,04월 21일,0,1,0,0
김민성,넥센,04월 22일,1,0,0,1
김민성,넥센,04월 24일,0,0,1,0
김민성,넥센,04월 25일,0,1,0,0
김민성,넥센,04월 27일,1,0,0,0
김민성,넥센,04월 28일,0,0,0,0
김민성,넥센,05월 16일,0,0,0,0
김민성,넥센,05월 17일,0,0,0,1
김민성,넥센,05월 19일,0,0,1,1
김민성,넥센,05월 20일,0,1,1,1
