Name,Team,date,2B,3B,ERA,K/BB,OPS,WHIP,IBB,BB,HBP,K,GS,S,W,HIT,SO,CG,INNING,ER,GP,BF,BA,PA,PITCH,L,HOLD,HR,GA
강영식,롯데,2015년 07월 29일,0.0,0.0,0.0,nan,0.56,1.25,0.0,0.2,0.0,1.3,0.0,0.0,0.0,1.1,0.0,0.0,1.01,0.0,1.0,4.1,0.265,4.4,22.3,0.0,0.7,0.0,0
강영식,롯데,2015년 08월 11일,0.0,0.0,0.0,nan,0.165,0.4,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,1.0,3.3,0.075,3.4,17.3,0.0,0.2,0.0,0
강영식,롯데,2015년 08월 13일,0.0,0.0,0.0,nan,0.05,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,1.07,0.0,1.0,3.8,0.025,3.8,15.0,0.0,0.1,0.0,0
강영식,롯데,2015년 08월 18일,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,1.0,3.2,0.0,3.2,12.0,0.0,0.7,0.0,0
강영식,롯데,2015년 08월 19일,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.0,1.08,0.0,1.0,3.8,0.0,3.8,12.0,0.0,0.2,0.0,0
강영식,롯데,2015년 08월 23일,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,1.16,0.0,1.0,3.9,0.0,3.9,14.7,0.0,0.1,0.0,0
강영식,롯데,2015년 08월 26일,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.1,0.0,0.0,0.0,1.05,0.0,1.0,3.3,0.0,3.3,14.2,0.0,0.0,0.0,0
강영식,롯데,2015년 08월 29일,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,1.0,3.1,0.0,3.1,13.5,0.0,0.0,0.0,1
강영식,롯데,2015년 09월 02일,0.7,0.0,4.725,nan,0.525,0.525,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.7,0.0,0.0,1.07,0.7,1.0,3.7,0.175,4.4,18.0,0.0,0.0,0.0,0
강영식,롯데,2015년 09월 05일,0.2,0.0,1.35,nan,0.325,0.85,0.0,0.7,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,1.02,0.2,1.0,3.2,0.05,4.1,23.5,0.0,0.7,0.0,1
강영식,롯데,2015년 09월 09일,0.1,0.0,5.4,nan,0.825,0.8,0.0,0.2,0.0,0.9,0.0,0.0,0.0,0.8,0.0,0.0,1.08,0.8,1.0,4.5,0.165,4.8,19.8,0.0,0.2,0.7,0
강영식,롯데,2015년 09월 16일,0.0,0.0,1.35,nan,0.575,0.775,0.0,0.1,0.0,1.6,0.0,0.0,0.0,0.9,0.0,0.0,1.09,0.2,1.0,4.1,0.215,4.2,15.3,0.0,0.1,0.2,0
강영식,롯데,2015년 09월 18일,0.0,0.0,0.675,nan,0.9,1.625,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.7,0.0,0.0,1.03,0.1,1.0,4.1,0.42,4.1,20.5,0.0,0.0,0.1,0
강영식,롯데,2015년 09월 22일,0.0,0.0,0.0,nan,0.705,1.875,0.0,0.7,0.0,1.8,0.0,0.0,0.0,1.2,0.0,0.0,1.01,0.0,1.0,4.0,0.3,4.7,24.8,0.0,0.0,0.0,0
강영식,롯데,2015년 09월 24일,0.0,0.0,0.0,nan,0.6969,1.3,0.0,0.2,0.0,1.2,0.0,0.0,0.0,1.1,0.0,0.0,1.0,0.0,1.0,3.3,0.3331,3.5,19.6,0.0,0.0,0.0,1
강영식,롯데,2015년 10월 02일,0.0,0.0,6.3,nan,1.0734,1.1,0.0,0.1,0.0,1.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7,1.0,3.8,0.2666,3.9,15.9,0.0,0.0,0.7,0
강영식,롯데,2015년 10월 04일,0.0,0.0,1.8,nan,0.3167,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.2,1.0,2.5,0.0833,2.5,9.4,0.0,0.0,0.2,0
강영식,롯데,2016년 05월 12일,0.0,0.0,0.9,nan,0.5919,1.15,0.0,0.0,0.0,0.8,0.0,0.0,0.7,0.8,0.0,0.0,0.44,0.1,1.0,2.9,0.2581,2.9,14.0,0.0,0.0,0.1,0
강영식,롯데,2016년 05월 13일,0.0,0.0,0.0,nan,0.1334,0.3,0.0,0.0,0.0,0.9,0.0,0.0,0.2,0.2,0.0,0.0,0.84,0.0,1.0,2.2,0.0666,2.2,9.5,0.0,0.0,0.0,0
강영식,롯데,2016년 05월 15일,0.0,0.0,0.0,nan,0.0667,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.92,0.0,1.0,2.8,0.0333,2.8,10.9,0.0,0.0,0.0,0
