Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,HR,SH,SF,R
스크럭스,NC,05월 06일,0.4,0,1.6,0,0.9,0,5.7,0,0,0,1.4,2.3,1.14,0.46,6,6,0.46,2.5,1,0,0,1
스크럭스,NC,05월 08일,0.2,0,2.0497,0,0.2,0,5,0,0,0.9,0.4,1.5,1.4797,0.57,5.1,4.2,0.4197,1.5,1.1,0,0,0
스크럭스,NC,05월 09일,0.9,0,1.6316,0,0.1,0,4,0,0,0.2,1,2.2,1.0416,0.59,4.9,4.7,0.5566,1.3,0.3,0,0,1
스크럭스,NC,05월 10일,1.1,0,1.5583,0,0,0,3.7,0,0,0.1,2,2.3,0.9583,0.6,4.8,4.7,0.5833,0.3,0.1,0,0,0
스크럭스,NC,05월 11일,1.2,0,1.5,0,0,0,3.6,0,0,0,0.5,2.4,0.9,0.6,4.8,4.8,0.6,1,0,0,0,0
스크럭스,NC,05월 13일,0.3,0,0.825,0,0,0,0.9,0,0.9,0.9,2,0.6,0.225,0.6,4.8,3,0.15,0.2,0,0,0,0
스크럭스,NC,05월 17일,1,0,1.8,0,0,0,3.9,0,0.2,0.2,0.4,2.9,0.975,0.825,4.8,4.4,0.725,0.1,0,0,0,0
스크럭스,NC,05월 19일,0.2,0,0.985,0,0,0,1.7,0,1,0.1,1.1,1.5,0.425,0.56,5.7,4.6,0.375,0,0,0,0,0
스크럭스,NC,05월 22일,0.1,0,0.755,0,0,0,1.5,0,0.2,0,1.1,1.4,0.375,0.38,5,4.8,0.35,0,0,0,0,0
스크럭스,NC,05월 23일,0,0,0.615,0,0,0,1.2,0,0.1,0,2.1,1.2,0.3,0.315,4.9,4.8,0.3,0,0,0,0,0
스크럭스,NC,05월 24일,0,0,0.6,0,0,0,1.2,0,0,0,1.4,1.2,0.3,0.3,4.8,4.8,0.3,0.9,0,0,0,0
스크럭스,NC,05월 25일,0,0,0.375,0,0,0,0.3,0,0.9,0,3.1,0.3,0.075,0.3,4.8,3.9,0.075,0.2,0,0,0,1
스크럭스,NC,05월 26일,0,0,1.225,0,0,0,3.7,0,0.2,0,2.5,1,0.925,0.3,4.8,4.6,0.25,1,0.9,0,0,0
