Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,H,SH,SF,R
강민호,롯데,2015년 06월 04일,0,0,1.75,0,0,0,5,0,0,0,1,2,1.25,0.5,4,4,0.5,2,1,0,0,1
강민호,롯데,2015년 06월 06일,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0
강민호,롯데,2015년 06월 07일,0,0,1.75,0,0,0,5,0,0,0,2,2,1.25,0.5,4,4,0.5,2,1,0,0,1
강민호,롯데,2015년 06월 09일,0,0,1.25,0,0,0,1,1,2,0,0,1,0.5,0.75,4,2,0.5,0,0,0,0,0
강민호,롯데,2015년 06월 10일,0,0,3.5,1,0,0,10,0,1,0,0,4,2.5,1,5,4,1,2,2,0,0,2
강민호,롯데,2015년 06월 12일,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0
강민호,롯데,2015년 06월 13일,0,0,1.25,0,0,0,4,0,0,0,1,1,1,0.25,4,4,0.25,1,1,0,0,1
강민호,롯데,2015년 06월 14일,0,0,0.833,1,0,0,1,0,1,0,0,1,0.333,0.5,4,3,0.333,0,0,0,0,0
강민호,롯데,2015년 06월 16일,0,0,0.25,0,0,0,0,0,1,0,2,0,0,0.25,4,3,0,0,0,0,0,0
강민호,롯데,2015년 06월 17일,0,0,0.65,0,0,0,1,0,1,0,1,1,0.25,0.4,5,4,0.25,0,0,0,0,0
강민호,롯데,2015년 06월 18일,0,0,0.5,0,0,0,1,1,0,0,0,1,0.25,0.25,4,4,0.25,0,0,0,0,0
강민호,롯데,2015년 06월 19일,0,0,0.4,0,0,0,1,0,0,0,0,1,0.2,0.2,5,5,0.2,0,0,0,0,0
강민호,롯데,2015년 06월 24일,0,0,1.4,0,0,0,4,0,1,0,1,1,1,0.4,5,4,0.25,1,1,0,0,2
강민호,롯데,2015년 06월 26일,0,0,0.25,0,0,0,0,0,1,0,2,0,0,0.25,4,3,0,1,0,0,0,1
강민호,롯데,2015년 07월 07일,0,0,0.4,0,0,0,1,0,0,0,3,1,0.2,0.2,5,5,0.2,0,0,0,0,1
강민호,롯데,2015년 07월 08일,0,0,0.5,0,0,0,1,1,0,0,0,1,0.25,0.25,4,4,0.25,0,0,0,0,0
강민호,롯데,2015년 07월 23일,1,0,2,0,0,0,7,0,0,0,1,3,1.4,0.6,5,5,0.6,2,1,0,0,3
강민호,롯데,2015년 07월 24일,1,0,1.35,0,0,0,3,0,1,0,1,2,0.75,0.6,5,4,0.5,1,0,0,0,1
